video_id,title,channel_title,published_at,view_count,like_count,comment_count,url
7iCmh8VlD-g,NÃO COMPRE UMA BMW C 400 X ANTES DE ASSISTIR ESSE VÍDEO | TESTE RIDE COMPLETO,Durvalcareca,2025-03-06 23:45:08,12729,885,70,https://www.youtube.com/watch?v=7iCmh8VlD-g
L6amJG-14vk,Mais um Ranking FULLPOWER NO AR #armadaperformance #bmw #bmwm2 #m2,FullpowerTV,2025-02-25 13:11:40,988,119,2,https://www.youtube.com/watch?v=L6amJG-14vk
y9RYgPS4DCs,"O dobro ou nada?! Se liga como um BMW M2 dobrou a potência original, no dinamômetro",FullpowerTV,2025-02-25 10:01:08,21152,2935,68,https://www.youtube.com/watch?v=y9RYgPS4DCs
OJ8WrGiOgYU,EASY RIDE | BMW S 1000 RR,Durvalcareca,2025-02-24 21:00:18,4739,377,7,https://www.youtube.com/watch?v=OJ8WrGiOgYU
fuz0ym_21ZM,"BMW M2 no Ranking FULLPOWER, dia 25/02, aqui no nosso YT",FullpowerTV,2025-02-19 22:23:22,1408,141,1,https://www.youtube.com/watch?v=fuz0ym_21ZM
fp3I5sc39ZM,FAÇA ISSO E DESCUBRA UMA NOVA BMW S 1000 RR | EXPLICAÇÃO COMPLETA DO RACE PRO E ACERTO DA SUSPENSÃO!,Durvalcareca,2025-02-17 22:45:08,5491,521,62,https://www.youtube.com/watch?v=fp3I5sc39ZM
wFeQxcHq7Gg,Vem conhecer a nova tecnologia dos carros da BMW!,Autoesporte,2025-02-12 22:35:27,2146,198,4,https://www.youtube.com/watch?v=wFeQxcHq7Gg
nnPhZz7RJfU,ONBOARD VELOCITTA BMW S 1000 RR M PACK | VOLTA RÁPIDA 1.43 ORIGINAL,Durvalcareca,2025-02-10 22:00:06,3084,377,19,https://www.youtube.com/watch?v=nnPhZz7RJfU
HuRDtf0wQOA,O DIANTEIRO É O PRIMEIRO A ENTRAR E O ÚLTIMO A SAIR | COMO EU ACIONO E TRABALHO OS FREIOS NA PISTA,Durvalcareca,2025-02-02 21:15:21,3738,441,28,https://www.youtube.com/watch?v=HuRDtf0wQOA
dHFi8JjMQuk,FAST LAP BMW S 1000 RR M PACK | ONBOARD CIRCUITO PANAMERICANO | 1.39 ORIGINAL,Durvalcareca,2025-01-22 21:15:06,3215,358,30,https://www.youtube.com/watch?v=dHFi8JjMQuk
GniW1waf-m4,Novo #bmw #x3 pode estacionar com controle remoto no #celular #autoesporte #carros #shorrts #cartok,Autoesporte,2025-01-18 21:00:56,1738,170,1,https://www.youtube.com/watch?v=GniW1waf-m4
YWRyp4bWSAs,#bmw contratou vencedor do #oscar para criar sons no #carroeletrico #i5 #autoesporte #shorts #carros,Autoesporte,2025-01-10 21:00:59,11157,1018,21,https://www.youtube.com/watch?v=YWRyp4bWSAs
L-9FPZE9wYE,HOJE AS CALIBRAGENS ESTÃO MAIS ALTAS NAS COMPETIÇÕES | TESTEI E FUNCIONA | DICAS DE CALIBRAGEM,Durvalcareca,2025-01-06 15:00:11,6293,752,73,https://www.youtube.com/watch?v=L-9FPZE9wYE
3RV5LhPdT7g,COMO É ASSISTIR DE PERTO UMA VOLTA RÁPIDA | BMW S 1000 RR M PACK,Durvalcareca,2024-12-29 14:30:21,6466,881,16,https://www.youtube.com/watch?v=3RV5LhPdT7g
V_0WB1SVX5E,"1:28,5 COM A MOTO ORIGINAL | RECORD DE UMA SUPERBIKE STOCK | ONBOARD CAPUAVA",Durvalcareca,2024-12-26 21:00:11,7688,778,49,https://www.youtube.com/watch?v=V_0WB1SVX5E
vJhKu7VuL8w,CHEVROLET EQUINOX EV merece VIDA DE LUXO?,Autoesporte,2024-12-12 20:00:32,5668,304,15,https://www.youtube.com/watch?v=vJhKu7VuL8w
7EEIEPDfwyQ,NÃO É GASTO É SEGURANÇA! OU FIQUE NA BASE DA ÁGUA | FREIOS,Durvalcareca,2024-12-05 21:00:11,4920,554,22,https://www.youtube.com/watch?v=7EEIEPDfwyQ
xNzPFUSwX_s,BMW Motorrad conquista duas categorias no Moto de Ouro: Esportiva e Maxitrail!,MOTOCICLISMO,2024-12-03 15:30:48,47,0,0,https://www.youtube.com/watch?v=xNzPFUSwX_s
lCzkry1_DLI,É O CONTROLE DE TRAÇÃO E NÃO FALTA DE POTÊNCIA | USE PARA EVOLUIR NA PILOTAGEM | DICAS IMPORTANTES,Durvalcareca,2024-12-01 21:00:12,8372,919,47,https://www.youtube.com/watch?v=lCzkry1_DLI
dO8VABiFKtQ,BMW S 1000 RR M PACK 2024 | AKRAPOVIC SOUND,Durvalcareca,2024-11-30 00:23:44,3439,273,10,https://www.youtube.com/watch?v=dO8VABiFKtQ
lvOnHqBmpUA,"Novo BMW X3 estaciona por CONTROLE REMOTO e tem GPS ""Mario Kart"" com REALIDADE AUMENTADA",Autoesporte,2024-11-19 20:00:22,32203,1402,78,https://www.youtube.com/watch?v=lvOnHqBmpUA
4apGTSNd2H0,PRIMEIRA VEZ NA PISTA COM BMW S 1000 RR | PODE MANTER O SETUP QUE PASSEI PARA VOCÊS ELA FEZ BONITO,Durvalcareca,2024-11-01 22:15:12,15862,1561,56,https://www.youtube.com/watch?v=4apGTSNd2H0
mvjgrAfoAms,Novo #bmwx3 vem ao #brasil com 300 cv e grade maior #autoesporte #shorts #carros #bmw #x3 #cartok,Autoesporte,2024-10-31 15:25:10,4453,294,12,https://www.youtube.com/watch?v=mvjgrAfoAms
K86zVsFrPo8,VOCÊ NUNCA VIU UMA ETAPA DO WSBK ASSIM | DENTRO DO BOX DA BMW | TOPRAK TE MANDOU UM ABRAÇO,Durvalcareca,2024-10-25 00:00:06,9400,1466,115,https://www.youtube.com/watch?v=K86zVsFrPo8
q5POvwp9VNc,PRIMEIRO ROLÊ COM BMW S 1000 RR  M | FAÇA ESSE ACERTO NA SUA E GANHE UMA MOTO NOVA | DICAS VALIOSAS,Durvalcareca,2024-10-19 21:00:11,37339,3240,175,https://www.youtube.com/watch?v=q5POvwp9VNc
-74ZLZZ45Fo,APRESENTO A VOCÊS A NOVA MÁQUINA | BMW S1000RR M PACK 2024,Durvalcareca,2024-10-01 15:15:36,28305,4510,401,https://www.youtube.com/watch?v=-74ZLZZ45Fo
u2V9hvHfIOw,Comparativo de peso! Veja a briga da BMW F 900 GS Plus contra a Suzuki V-Strom 800 DE,MOTOCICLISMO,2024-09-16 17:34:32,18763,1061,102,https://www.youtube.com/watch?v=u2V9hvHfIOw
D3zf2wCSJOI,NOVA BMW F900 GS TROPHY 2024 | TUDO O QUE VOCÊ PRECISA SABER,Durvalcareca,2024-08-08 23:30:11,35021,1932,100,https://www.youtube.com/watch?v=D3zf2wCSJOI
BB7mevmZIw0,DUCATI PANIGALE V4 S VS SUZUKI GSX-R 1000R VS BMW S1000RR | ONBOARD CIRCUITO PANAMERICANO,Durvalcareca,2024-07-25 21:00:21,4646,469,40,https://www.youtube.com/watch?v=BB7mevmZIw0
8MJsmPfpjpQ,BMW C 400 X: ÓTIMAS IMPRESSÕES NA CIDADE E NA ESTRADA,MOTOCICLISMO,2024-07-05 12:51:34,3235,144,7,https://www.youtube.com/watch?v=8MJsmPfpjpQ
CoYLanrwf9w,"BMW M135i tem um seis cilindros em linha MONSTRÃO, agora mais forte ainda. Dá o PLAY, aumente o som!",FullpowerTV,2024-05-14 10:00:09,12836,1638,20,https://www.youtube.com/watch?v=CoYLanrwf9w
OaMgG_UMQUU,BMW R 1300 GS: PRIMEIRAS IMPRESSÕES,MOTOCICLISMO,2024-05-10 10:26:01,2272,93,3,https://www.youtube.com/watch?v=OaMgG_UMQUU
9ba2qwWxQAs,"BMW 540i no Ranking FULLPOWER: mais uma barca de patrão, da Go!, aqui no nosso quadro oficial",FullpowerTV,2024-04-23 10:00:08,12919,1575,44,https://www.youtube.com/watch?v=9ba2qwWxQAs
Nrd1fQINCsU,NOVA BMW R 1300 GS 2024 VS BMW R 1250 GS | TUDO O QUE MUDOU E SUAS ESPECIFICAÇÕES TÉCNICAS,Durvalcareca,2024-04-04 15:15:07,42826,1865,112,https://www.youtube.com/watch?v=Nrd1fQINCsU
cVvkn12BxjU,TEST RIDE BMW R 1300 GS 2024 | ONBOARD RAIZ COM FEEDBACK REAL,Durvalcareca,2024-04-01 21:45:07,21674,1808,70,https://www.youtube.com/watch?v=cVvkn12BxjU
IQpn9cuFHGk,ONBOARD SUZUKI GSX-R 1000R VS BWM S 1000RR | MOTO DE RUA VS MOTO DE PISTA | CIRCUITO PANAMERICANO,Durvalcareca,2024-02-23 16:35:18,7148,609,35,https://www.youtube.com/watch?v=IQpn9cuFHGk
32C2vFhFWcs,NOVA BMW C 400 X | TODOS OS DETALHES DESSA SCOOTER,Durvalcareca,2024-01-20 21:00:09,5962,456,53,https://www.youtube.com/watch?v=32C2vFhFWcs
DA_gAzBu27o,"MOTO DE OURO: DUCATI PANIGALE V4 S, A ELEITA ENTRE AS ESPORTIVAS",MOTOCICLISMO,2023-11-24 14:14:56,280,18,1,https://www.youtube.com/watch?v=DA_gAzBu27o
_5Kl86nqOsU,BMW MOTORRAD CONQUISTA DOIS PRÊMIOS NO 24º MOTO DE OURO!,MOTOCICLISMO,2023-11-21 22:31:47,228,21,1,https://www.youtube.com/watch?v=_5Kl86nqOsU
UpyMVn4LDGU,BMW F 900 R: RETORNO AO SEGMENTO ROADSTER EM GRANDE ESTILO,MOTOCICLISMO,2023-07-28 11:36:39,3351,125,10,https://www.youtube.com/watch?v=UpyMVn4LDGU
RtMD7IIGdhU,BMW 2,autoranking,2014-01-23 13:01:32,7,0,0,https://www.youtube.com/watch?v=RtMD7IIGdhU
t2CixO0_oWM,BMW 2,autoranking,2014-01-23 13:00:49,0,0,0,https://www.youtube.com/watch?v=t2CixO0_oWM
C3Ggb32Enxw,BMW i3,autoranking,2013-08-05 09:42:47,26,1,0,https://www.youtube.com/watch?v=C3Ggb32Enxw
